num_stim,match,zero_back_outer_loop.thisRepN,zero_back_outer_loop.thisTrialN,zero_back_outer_loop.thisN,zero_back_outer_loop.thisIndex,zero_back_loop.thisRepN,zero_back_loop.thisTrialN,zero_back_loop.thisN,zero_back_loop.thisIndex,one_back_outer_loop.thisRepN,one_back_outer_loop.thisTrialN,one_back_outer_loop.thisN,one_back_outer_loop.thisIndex,one_back_loop.thisRepN,one_back_loop.thisTrialN,one_back_loop.thisN,one_back_loop.thisIndex,two_back_outer_loop.thisRepN,two_back_outer_loop.thisTrialN,two_back_outer_loop.thisN,two_back_outer_loop.thisIndex,two_back_loop.thisRepN,two_back_loop.thisTrialN,two_back_loop.thisN,two_back_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,zero_back_prompt_text.started,zero_back_prompt_text.stopped,zero_back_num_stim.started,zero_back_num_stim.stopped,zero_back_resp.keys,zero_back_resp.corr,zero_back_resp.started,zero_back_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,one_back_prompt_text.started,one_back_prompt_text.stopped,one_back_num_stim.started,one_back_num_stim.stopped,one_back_resp.keys,one_back_resp.corr,one_back_resp.started,one_back_resp.stopped,two_back_prompt_text.started,two_back_prompt_text.stopped,two_back_num_stim.started,two_back_num_stim.stopped,two_back_resp.keys,two_back_resp.corr,two_back_resp.started,two_back_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,None,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,97.84752799998387,None,None,1,97.84752799998387,None,98.34831479997956,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
8,None,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,100.84699970000656,None,None,1,100.84699970000656,None,101.34085619999678,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,103.84639970000717,None,None,0,103.84639970000717,None,104.3540454999893,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,106.85278809999,None,None,0,106.85278809999,None,107.35352559998864,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
3,None,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,109.85213489999296,None,None,1,109.85213489999296,None,110.3459603000083,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,112.85157249998883,None,None,0,112.85157249998883,None,113.3515642999846,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
4,None,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,115.85099629999604,None,None,1,115.85099629999604,None,116.34489189999294,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
2,None,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,118.85040249998565,None,None,1,118.85040249998565,None,119.34428079999634,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
7,None,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,121.84982329999912,None,None,1,121.84982329999912,None,122.34370559998206,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,124.84923749999143,None,None,0,124.84923749999143,None,125.35603739999351,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
