35.6992 	DATA 	Keypress: g
35.8441 	DATA 	Keypress: s
35.8651 	DATA 	Keypress: d
35.8858 	DATA 	Keypress: k
35.9344 	DATA 	Keypress: j
35.9622 	DATA 	Keypress: g
36.0250 	DATA 	Keypress: h
36.0943 	DATA 	Keypress: s
36.1230 	DATA 	Keypress: k
36.1249 	DATA 	Keypress: d
36.1715 	DATA 	Keypress: j
36.2194 	DATA 	Keypress: g
36.4424 	DATA 	Keypress: k
36.5253 	DATA 	Keypress: s
36.7330 	DATA 	Keypress: space
36.8657 	DATA 	Keypress: space
37.0316 	DATA 	Keypress: g
37.1707 	DATA 	Keypress: k
37.2616 	DATA 	Keypress: d
37.3510 	DATA 	Keypress: j
37.4690 	DATA 	Keypress: f
37.6917 	DATA 	Keypress: f
37.7822 	DATA 	Keypress: space
37.9072 	DATA 	Keypress: f
37.9965 	DATA 	Keypress: k
38.0457 	DATA 	Keypress: d
38.1987 	DATA 	Keypress: k
38.2675 	DATA 	Keypress: d
38.3727 	DATA 	Keypress: k
38.4697 	DATA 	Keypress: d
38.6005 	DATA 	Keypress: k
38.6909 	DATA 	Keypress: d
38.7823 	DATA 	Keypress: space
38.8726 	DATA 	Keypress: f
39.0111 	DATA 	Keypress: k
39.0808 	DATA 	Keypress: f
39.1910 	DATA 	Keypress: k
39.3517 	DATA 	Keypress: g
39.4341 	DATA 	Keypress: j
39.5172 	DATA 	Keypress: g
39.6904 	DATA 	Keypress: s
39.8850 	DATA 	Keypress: space
40.0174 	DATA 	Keypress: g
40.0386 	DATA 	Keypress: k
40.1769 	DATA 	Keypress: s
40.2464 	DATA 	Keypress: space
40.3089 	DATA 	Keypress: d
40.3787 	DATA 	Keypress: f
40.4198 	DATA 	Keypress: k
40.5517 	DATA 	Keypress: space
40.5797 	DATA 	Keypress: s
40.7123 	DATA 	Keypress: d
40.7598 	DATA 	Keypress: k
40.9204 	DATA 	Keypress: space
40.9615 	DATA 	Keypress: f
41.1141 	DATA 	Keypress: k
41.1843 	DATA 	Keypress: d
41.2532 	DATA 	Keypress: f
41.3641 	DATA 	Keypress: h
41.4346 	DATA 	Keypress: f
41.5725 	DATA 	Keypress: h
41.6354 	DATA 	Keypress: f
41.7527 	DATA 	Keypress: h
41.7951 	DATA 	Keypress: d
41.9063 	DATA 	Keypress: space
42.0035 	DATA 	Keypress: f
42.1286 	DATA 	Keypress: k
42.2394 	DATA 	Keypress: f
42.3302 	DATA 	Keypress: j
42.4407 	DATA 	Keypress: f
42.5104 	DATA 	Keypress: space
43.1426 	DATA 	Keypress: return
44.2879 	DATA 	Keypress: d
44.3983 	DATA 	Keypress: f
44.5513 	DATA 	Keypress: d
44.6134 	DATA 	Keypress: n
44.6627 	DATA 	Keypress: f
44.7731 	DATA 	Keypress: l
44.7922 	DATA 	Keypress: k
44.8430 	DATA 	Keypress: d
45.0093 	DATA 	Keypress: f
45.1558 	DATA 	Keypress: l
45.1768 	DATA 	Keypress: k
45.2733 	DATA 	Keypress: n
45.2939 	DATA 	Keypress: d
45.3166 	DATA 	Keypress: f
45.5161 	DATA 	Keypress: l
45.6070 	DATA 	Keypress: k
45.6093 	DATA 	Keypress: d
45.6766 	DATA 	Keypress: f
45.7877 	DATA 	Keypress: n
45.8847 	DATA 	Keypress: d
45.9050 	DATA 	Keypress: l
45.9743 	DATA 	Keypress: k
46.0448 	DATA 	Keypress: f
46.0853 	DATA 	Keypress: n
46.1834 	DATA 	Keypress: d
46.3431 	DATA 	Keypress: f
46.4536 	DATA 	Keypress: k
46.5646 	DATA 	Keypress: d
46.6765 	DATA 	Keypress: f
46.7668 	DATA 	Keypress: l
46.8360 	DATA 	Keypress: k
46.8384 	DATA 	Keypress: d
46.9536 	DATA 	Keypress: f
46.9743 	DATA 	Keypress: n
47.2665 	DATA 	Keypress: d
47.3769 	DATA 	Keypress: f
47.5722 	DATA 	Keypress: d
47.9390 	DATA 	Keypress: period
48.0710 	DATA 	Keypress: d
48.2174 	DATA 	Keypress: k
48.2874 	DATA 	Keypress: f
48.3074 	DATA 	Keypress: n
48.3775 	DATA 	Keypress: d
48.4184 	DATA 	Keypress: l
48.5373 	DATA 	Keypress: f
48.5989 	DATA 	Keypress: j
48.7176 	DATA 	Keypress: d
48.8286 	DATA 	Keypress: k
48.9390 	DATA 	Keypress: j
49.0032 	DATA 	Keypress: d
49.1613 	DATA 	Keypress: f
49.3487 	DATA 	Keypress: j
49.3977 	DATA 	Keypress: d
49.5785 	DATA 	Keypress: j
49.6686 	DATA 	Keypress: f
49.7798 	DATA 	Keypress: j
49.8484 	DATA 	Keypress: d
50.0153 	DATA 	Keypress: j
50.0855 	DATA 	Keypress: f
50.1494 	DATA 	Keypress: d
50.1759 	DATA 	Keypress: k
50.3351 	DATA 	Keypress: f
50.4736 	DATA 	Keypress: d
50.6469 	DATA 	Keypress: f
50.6746 	DATA 	Keypress: j
50.7857 	DATA 	Keypress: d
50.9039 	DATA 	Keypress: space
51.0089 	DATA 	Keypress: f
51.0982 	DATA 	Keypress: k
51.1262 	DATA 	Keypress: d
51.2382 	DATA 	Keypress: f
51.3621 	DATA 	Keypress: j
51.3840 	DATA 	Keypress: d
51.5225 	DATA 	Keypress: f
51.7099 	DATA 	Keypress: d
51.7796 	DATA 	Keypress: l
51.8484 	DATA 	Keypress: f
51.9799 	DATA 	Keypress: j
52.0078 	DATA 	Keypress: s
52.1822 	DATA 	Keypress: f
52.2306 	DATA 	Keypress: k
52.3485 	DATA 	Keypress: s
52.3699 	DATA 	Keypress: j
52.5082 	DATA 	Keypress: f
52.5713 	DATA 	Keypress: l
52.7018 	DATA 	Keypress: d
52.7229 	DATA 	Keypress: j
52.8199 	DATA 	Keypress: f
53.1190 	DATA 	Keypress: f
53.3342 	DATA 	Keypress: space
53.4032 	DATA 	Keypress: d
53.5709 	DATA 	Keypress: j
53.6888 	DATA 	Keypress: d
53.7805 	DATA 	Keypress: space
53.7849 	DATA 	Keypress: f
53.8901 	DATA 	Keypress: j
53.9386 	DATA 	Keypress: d
54.0284 	DATA 	Keypress: space
54.0779 	DATA 	Keypress: f
54.2089 	DATA 	Keypress: k
54.2117 	DATA 	Keypress: d
54.2574 	DATA 	Keypress: j
54.3760 	DATA 	Keypress: f
54.3973 	DATA 	Keypress: space
54.5361 	DATA 	Keypress: d
54.6262 	DATA 	Keypress: f
54.8057 	DATA 	Keypress: d
54.9241 	DATA 	Keypress: f
54.9453 	DATA 	Keypress: j
55.0632 	DATA 	Keypress: d
55.1322 	DATA 	Keypress: j
55.2027 	DATA 	Keypress: f
55.2711 	DATA 	Keypress: space
55.3822 	DATA 	Keypress: d
55.4725 	DATA 	Keypress: j
55.5010 	DATA 	Keypress: f
55.6538 	DATA 	Keypress: d
55.7431 	DATA 	Keypress: j
55.7925 	DATA 	Keypress: f
55.8681 	DATA 	Keypress: space
55.9796 	DATA 	Keypress: d
56.0904 	DATA 	Keypress: j
56.1330 	DATA 	Keypress: f
56.2293 	DATA 	Keypress: space
56.2712 	DATA 	Keypress: d
56.3824 	DATA 	Keypress: f
56.5912 	DATA 	Keypress: j
56.7430 	DATA 	Keypress: space
56.7463 	DATA 	Keypress: d
56.9105 	DATA 	Keypress: f
57.0079 	DATA 	Keypress: space
57.0278 	DATA 	Keypress: d
57.1597 	DATA 	Keypress: j
57.1813 	DATA 	Keypress: f
57.2570 	DATA 	Keypress: space
57.3193 	DATA 	Keypress: d
57.4582 	DATA 	Keypress: f
57.5694 	DATA 	Keypress: j
57.5901 	DATA 	Keypress: d
57.7095 	DATA 	Keypress: space
57.7297 	DATA 	Keypress: f
57.8888 	DATA 	Keypress: d
57.9162 	DATA 	Keypress: j
58.0276 	DATA 	Keypress: space
58.0498 	DATA 	Keypress: f
58.1882 	DATA 	Keypress: d
58.2782 	DATA 	Keypress: j
58.3265 	DATA 	Keypress: f
58.4166 	DATA 	Keypress: space
58.5078 	DATA 	Keypress: d
58.7078 	DATA 	Keypress: f
58.7702 	DATA 	Keypress: j
58.8674 	DATA 	Keypress: d
58.9101 	DATA 	Keypress: space
59.0483 	DATA 	Keypress: f
59.1673 	DATA 	Keypress: j
59.1879 	DATA 	Keypress: d
59.3269 	DATA 	Keypress: space
59.3478 	DATA 	Keypress: f
59.4858 	DATA 	Keypress: d
59.5489 	DATA 	Keypress: j
59.6668 	DATA 	Keypress: f
59.8267 	DATA 	Keypress: d
59.9856 	DATA 	Keypress: j
60.0067 	DATA 	Keypress: f
60.1393 	DATA 	Keypress: space
60.2295 	DATA 	Keypress: d
60.3888 	DATA 	Keypress: f
60.4516 	DATA 	Keypress: j
60.5635 	DATA 	Keypress: d
60.5905 	DATA 	Keypress: space
60.7004 	DATA 	Keypress: f
60.8472 	DATA 	Keypress: j
60.8880 	DATA 	Keypress: d
61.0061 	DATA 	Keypress: space
61.0965 	DATA 	Keypress: f
61.2144 	DATA 	Keypress: j
61.2361 	DATA 	Keypress: d
61.3950 	DATA 	Keypress: f
61.5557 	DATA 	Keypress: k
61.5763 	DATA 	Keypress: d
61.6240 	DATA 	Keypress: j
61.7630 	DATA 	Keypress: f
61.9573 	DATA 	Keypress: d
62.0694 	DATA 	Keypress: j
62.2560 	DATA 	Keypress: space
62.2772 	DATA 	Keypress: f
62.3956 	DATA 	Keypress: d
62.3990 	DATA 	Keypress: j
62.5336 	DATA 	Keypress: f
62.5615 	DATA 	Keypress: space
62.6942 	DATA 	Keypress: d
62.6980 	DATA 	Keypress: j
62.8252 	DATA 	Keypress: f
62.9858 	DATA 	Keypress: d
63.0761 	DATA 	Keypress: j
63.1447 	DATA 	Keypress: f
63.2836 	DATA 	Keypress: d
63.6313 	DATA 	Keypress: return
63.7712 	DATA 	Keypress: f
63.9499 	DATA 	Keypress: d
64.0619 	DATA 	Keypress: k
64.0820 	DATA 	Keypress: f
64.2211 	DATA 	Keypress: d
64.3112 	DATA 	Keypress: l
64.3319 	DATA 	Keypress: k
64.3604 	DATA 	Keypress: f
64.4501 	DATA 	Keypress: j
64.5198 	DATA 	Keypress: d
65.3049 	DATA 	Keypress: space
66.5200 	DATA 	Keypress: space
68.0396 	DATA 	Keypress: escape
70.2946 	EXP 	window1: mouseVisible = True
